trial_num,trial_type,looking_time_s,lab,subid,stimulus
9,ADS,18,Kizito - Uganda,IDS_027,ADS_5
10,IDS,12.618,Kizito - Uganda,IDS_027,IDS_5
11,ADS,6.191,Kizito - Uganda,IDS_027,ADS_6
12,IDS,8.882,Kizito - Uganda,IDS_027,IDS_6
13,IDS,5.553,Kizito - Uganda,IDS_027,IDS_7
14,ADS,4.584,Kizito - Uganda,IDS_027,ADS_7
-2,training,13.169,Kizito - Uganda,IDS_028,training
-1,training,14.501,Kizito - Uganda,IDS_028,training
1,IDS,13.475,Kizito - Uganda,IDS_028,IDS_1
2,ADS,6.171,Kizito - Uganda,IDS_028,ADS_1
3,IDS,6.94,Kizito - Uganda,IDS_028,IDS_2
4,ADS,13.664,Kizito - Uganda,IDS_028,ADS_2
5,ADS,14.996,Kizito - Uganda,IDS_028,ADS_3
6,IDS,12.994,Kizito - Uganda,IDS_028,IDS_3
7,IDS,7.104,Kizito - Uganda,IDS_028,IDS_4
8,ADS,5.878,Kizito - Uganda,IDS_028,ADS_4
9,ADS,11.579,Kizito - Uganda,IDS_028,ADS_5
10,IDS,10.838,Kizito - Uganda,IDS_028,IDS_5
11,ADS,5.282,Kizito - Uganda,IDS_028,ADS_6
12,IDS,12.367,Kizito - Uganda,IDS_028,IDS_6
13,IDS,16.381,Kizito - Uganda,IDS_028,IDS_7
14,ADS,6.604,Kizito - Uganda,IDS_028,ADS_7
-2,training,17.752,Kizito - Uganda,IDS_029,training
-1,training,17.78,Kizito - Uganda,IDS_029,training
1,IDS,16.282,Kizito - Uganda,IDS_029,IDS_1
2,ADS,16.348,Kizito - Uganda,IDS_029,ADS_1
3,IDS,3.266,Kizito - Uganda,IDS_029,IDS_2
4,ADS,16.462,Kizito - Uganda,IDS_029,ADS_2
5,ADS,6.967,Kizito - Uganda,IDS_029,ADS_3
6,IDS,9.402,Kizito - Uganda,IDS_029,IDS_3
7,IDS,2.165,Kizito - Uganda,IDS_029,IDS_4
8,ADS,14.045,Kizito - Uganda,IDS_029,ADS_4
9,ADS,3.526,Kizito - Uganda,IDS_029,ADS_5
10,IDS,5.424,Kizito - Uganda,IDS_029,IDS_5
11,ADS,7.382,Kizito - Uganda,IDS_029,ADS_6
12,IDS,10.384,Kizito - Uganda,IDS_029,IDS_6
13,IDS,3.128,Kizito - Uganda,IDS_029,IDS_7
14,ADS,1.944,Kizito - Uganda,IDS_029,ADS_7
-2,training,11.669,Kizito - Uganda,IDS_030,training
-1,training,9.023,Kizito - Uganda,IDS_030,training
1,IDS,3.37,Kizito - Uganda,IDS_030,IDS_1
2,ADS,10.079,Kizito - Uganda,IDS_030,ADS_1
3,IDS,8.196,Kizito - Uganda,IDS_030,IDS_2
4,ADS,2.754,Kizito - Uganda,IDS_030,ADS_2
5,ADS,1.906,Kizito - Uganda,IDS_030,ADS_3
6,IDS,7.409,Kizito - Uganda,IDS_030,IDS_3
7,IDS,5.669,Kizito - Uganda,IDS_030,IDS_4
8,ADS,0.469,Kizito - Uganda,IDS_030,ADS_4
9,ADS,1.96,Kizito - Uganda,IDS_030,ADS_5
10,IDS,0.956,Kizito - Uganda,IDS_030,IDS_5
11,ADS,2.746,Kizito - Uganda,IDS_030,ADS_6
12,IDS,1.481,Kizito - Uganda,IDS_030,IDS_6
13,IDS,0.947,Kizito - Uganda,IDS_030,IDS_7
-2,training,17.836,Kizito - Uganda,IDS_031,training
-1,training,1.857,Kizito - Uganda,IDS_031,training
1,IDS,13.42,Kizito - Uganda,IDS_031,IDS_1
2,ADS,5.686,Kizito - Uganda,IDS_031,ADS_1
3,IDS,6.597,Kizito - Uganda,IDS_031,IDS_2
